Group Name,CVE,Severity,Description,Attack Vector,Attack Complexity,Privileges Required,User Interaction,Confidentiality,Integrity,Availability,CPE String
Conti,CVE-2018-13374,8.8 ,"A Improper Access Control in Fortinet FortiOS 6.0.2, 5.6.7 and before, FortiADC 6.1.0, 6.0.0 to 6.0.1, 5.4.0 to 5.4.4 allows attacker to obtain the LDAP server login credentials configured in FortiGate via pointing a LDAP server connectivity test request to a rogue LDAP server instead of the configured one.",Network,Low,Low,None,High,High,High,"[['Operating System', 'fortinet', 'fortios', 'versions up to (including) 5.6'], ['Operating System', 'fortinet', 'fortios', '*']]"
Conti,CVE-2020-0796,0.0 ,"A remote code execution vulnerability exists in the way that the Microsoft Server Message Block 3.1.1 (SMBv3) protocol handles certain requests, aka 'Windows SMBv3 Client/Server Remote Code Execution Vulnerability'.",Network,Low,None,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_10', '1909'], ['Operating System', 'microsoft', 'windows_server_2016', '1903'], ['Operating System', 'microsoft', 'windows_server_2016', '1909']]"
Conti,CVE-2020-0609,9.8 ,"A remote code execution vulnerability exists in Windows Remote Desktop Gateway (RD Gateway) when an unauthenticated attacker connects to the target system using RDP and sends specially crafted requests, aka 'Windows Remote Desktop Gateway (RD Gateway) Remote Code Execution Vulnerability'. This CVE ID is unique from CVE-2020-0610.",Network,Low,None,None,High,High,High,"[['Operating System', 'microsoft', 'windows_server_2012', '-'], ['Operating System', 'microsoft', 'windows_server_2012', 'r2'], ['Operating System', 'microsoft', 'windows_server_2016', '-'], ['Operating System', 'microsoft', 'windows_server_2019', '-']]"
Conti,CVE-2020-0688,8.8 ,"A remote code execution vulnerability exists in Microsoft Exchange software when the software fails to properly handle objects in memory, aka 'Microsoft Exchange Memory Corruption Vulnerability'.",Network,Low,Low,None,High,High,High,"[['Application', 'microsoft', 'exchange_server', '2010'], ['Application', 'microsoft', 'exchange_server', '2013'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2019'], ['Application', 'microsoft', 'exchange_server', '2019']]"
Conti,CVE-2021-21972,9.8 ,"The vSphere Client (HTML5) contains a remote code execution vulnerability in a vCenter Server plugin. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server. This affects VMware vCenter Server (7.x before 7.0 U1c, 6.7 before 6.7 U3l and 6.5 before 6.5 U3n) and VMware Cloud Foundation (4.x before 4.2 and 3.x before 3.10.1.2).",Network,Low,None,None,High,High,High,"[['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'cloud_foundation', '*'], ['Application', 'vmware', 'cloud_foundation', '*'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5']]"
Conti,CVE-2021-21985,9.8 ,The vSphere Client (HTML5) contains a remote code execution vulnerability due to lack of input validation in the Virtual SAN Health Check plug-in which is enabled by default in vCenter Server. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server.,Network,Low,None,None,High,High,High,"[['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'cloud_foundation', '*'], ['Application', 'vmware', 'cloud_foundation', '*'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5']]"
Conti,CVE-2021-22005,9.8 ,The vCenter Server contains an arbitrary file upload vulnerability in the Analytics service. A malicious actor with network access to port 443 on vCenter Server may exploit this issue to execute code on vCenter Server by uploading a specially crafted file.,Network,Low,None,None,High,High,High,"[['Application', 'vmware', 'cloud_foundation', '*'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '7.0']]"
Conti,CVE-2018-8120,7.0 ,"An elevation of privilege vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka ""Win32k Elevation of Privilege Vulnerability."" This affects Windows Server 2008, Windows 7, Windows Server 2008 R2. This CVE ID is unique from CVE-2018-8124, CVE-2018-8164, CVE-2018-8166.",Local,High,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_7', '*'], ['Operating System', 'microsoft', 'windows_7', '*'], ['Operating System', 'microsoft', 'windows_server_2008', '-'], ['Operating System', 'microsoft', 'windows_server_2008', '-'], ['Operating System', 'microsoft', 'windows_server_2008', '-'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_server_2008', '-'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2'], ['Operating System', 'microsoft', 'windows_7', '*'], ['Operating System', 'microsoft', 'windows_7', '*'], ['Operating System', 'microsoft', 'windows_server_2008', '-'], ['Operating System', 'microsoft', 'windows_server_2008', '-'], ['Operating System', 'microsoft', 'windows_server_2008', '-'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2']]"
Conti,CVE-2019-0543,7.8 ,"An elevation of privilege vulnerability exists when Windows improperly handles authentication requests, aka ""Microsoft Windows Elevation of Privilege Vulnerability."" This affects Windows 7, Windows Server 2012 R2, Windows RT 8.1, Windows Server 2008, Windows Server 2019, Windows Server 2012, Windows 8.1, Windows Server 2016, Windows Server 2008 R2, Windows 10, Windows 10 Servers.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1703'], ['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_8.1', '-'], ['Operating System', 'microsoft', 'windows_rt_8.1', '-']]"
Conti,CVE-2019-0841,7.8 ,"An elevation of privilege vulnerability exists when Windows AppX Deployment Service (AppXSVC) improperly handles hard links, aka 'Windows Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-0730, CVE-2019-0731, CVE-2019-0796, CVE-2019-0805, CVE-2019-0836.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '1703'], ['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_server_2016', '1709'], ['Operating System', 'microsoft', 'windows_server_2016', '1803'], ['Operating System', 'microsoft', 'windows_server_2019', '-']]"
Conti,CVE-2019-1069,7.8 ,"An elevation of privilege vulnerability exists in the way the Task Scheduler Service validates certain file operations, aka 'Task Scheduler Elevation of Privilege Vulnerability'.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1703'], ['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_server_2016', '-'], ['Operating System', 'microsoft', 'windows_server_2016', '']]"
Conti,CVE-2019-1129,7.8 ,"An elevation of privilege vulnerability exists when Windows AppX Deployment Service (AppXSVC) improperly handles hard links, aka 'Windows Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-1130.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '1703'], ['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_server_2016', '1803'], ['Operating System', 'microsoft', 'windows_server_2016', '1903'], ['Operating System', 'microsoft', 'windows_server_2019', '-']]"
Conti,CVE-2019-1130,7.8 ,"An elevation of privilege vulnerability exists when Windows AppX Deployment Service (AppXSVC) improperly handles hard links, aka 'Windows Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-1129.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1703'], ['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_8.1', '-'], ['Operating System', 'microsoft', 'windows_rt_8.1', '-']]"
Conti,CVE-2019-1215,7.8 ,"An elevation of privilege vulnerability exists in the way that ws2ifsl.sys (Winsock) handles objects in memory, aka 'Windows Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-1253, CVE-2019-1278, CVE-2019-1303.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1703'], ['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_8.1', '-']]"
Conti,CVE-2019-1253,7.8 ,"An elevation of privilege vulnerability exists when the Windows AppX Deployment Server improperly handles junctions.To exploit this vulnerability, an attacker would first have to gain execution on the victim system, aka 'Windows Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-1215, CVE-2019-1278, CVE-2019-1303.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '1703'], ['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_server_2016', '1803'], ['Operating System', 'microsoft', 'windows_server_2016', '1903'], ['Operating System', 'microsoft', 'windows_server_2019', '-']]"
Conti,CVE-2019-1315,7.8 ,"An elevation of privilege vulnerability exists when Windows Error Reporting manager improperly handles hard links, aka 'Windows Error Reporting Manager Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-1339, CVE-2019-1342.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1703'], ['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_8.1', '-']]"
Conti,CVE-2019-1322,7.8 ,"An elevation of privilege vulnerability exists when Windows improperly handles authentication requests, aka 'Microsoft Windows Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-1320, CVE-2019-1340.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_server_2016', '1803'], ['Operating System', 'microsoft', 'windows_server_2016', '1903'], ['Operating System', 'microsoft', 'windows_server_2019', '-']]"
Conti,CVE-2019-1385,7.8 ,"An elevation of privilege vulnerability exists when the Windows AppX Deployment Extensions improperly performs privilege management, resulting in access to system files.To exploit this vulnerability, an authenticated attacker would need to run a specially crafted application to elevate privileges.The security update addresses the vulnerability by correcting how AppX Deployment Extensions manages privileges., aka 'Windows AppX Deployment Extensions Elevation of Privilege Vulnerability'.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_server_2016', '1803'], ['Operating System', 'microsoft', 'windows_server_2016', '1903'], ['Operating System', 'microsoft', 'windows_server_2019', '-']]"
Conti,CVE-2019-1388,7.8 ,"An elevation of privilege vulnerability exists in the Windows Certificate Dialog when it does not properly enforce user privileges, aka 'Windows Certificate Dialog Elevation of Privilege Vulnerability'.",Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1709'], ['Operating System', 'microsoft', 'windows_10', '1803'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1903'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_8.1', '-'], ['Operating System', 'microsoft', 'windows_rt_8.1', '-']]"
