Group Name,CVE,CVSS Version,Severity,Description,Attack Vector,Attack Complexity,Privileges Required,User Interaction,Confidentiality,Integrity,Availability,CPE String
Conti,CVE-2018-12196,3.0,6.7 ,"Insufficient input validation in Intel(R) AMT in Intel(R) CSME before version 11.8.60, 11.11.60, 11.22.60 or 12.0.20 may allow a privileged user to potentially execute arbitrary code via local access.",Local,Low,High,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2018-12200,3.0,6.7 ,Insufficient access control in Intel(R) Capability Licensing Service before version 1.50.638.1 may allow an unprivileged user to potentially escalate privileges via local access.,Local,Low,High,None,High,High,High,"[['Application', 'intel', 'capability_licensing_service', 'versions up to (excluding) 1.50']]"
Conti,CVE-2018-12190,3.0,6.7 ,"Insufficient input validation in Intel(r) CSME subsystem before versions 11.8.60, 11.11.60, 11.22.60 or 12.0.20 or Intel(r) TXE before 3.1.60 or 4.0.10 may allow a privileged user to potentially enable an escalation of privilege via local access.",Local,Low,High,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-0091,3.0,7.8 ,"Code injection vulnerability in installer for Intel(R) CSME before versions 11.8.65, 11.11.65, 11.22.65, 12.0.35 and Intel(R) TXE 3.1.65, 4.0.15 may allow an unprivileged user to potentially enable escalation of privilege via local access.",Local,Low,Low,None,High,High,High,"[['Application', 'intel', 'converged_security_and_management_engine', '*'], ['Application', 'intel', 'converged_security_and_management_engine', '*'], ['Application', 'intel', 'converged_security_and_management_engine', '*'], ['Application', 'intel', 'converged_security_and_management_engine', '*'], ['Application', 'intel', 'trusted_execution_technology', '*'], ['Application', 'intel', 'trusted_execution_technology', '*']]"
Conti,CVE-2019-0086,3.0,7.8 ,"Insufficient access control vulnerability in Dynamic Application Loader software for Intel(R) CSME before versions 11.8.65, 11.11.65, 11.22.65, 12.0.35 and Intel(R) TXE 3.1.65, 4.0.15 may allow an unprivileged user to potentially enable escalation of privilege via local access.",Local,Low,Low,None,High,High,High,"[['Application', 'intel', 'converged_security_management_engine_firmware', '*'], ['Application', 'intel', 'converged_security_management_engine_firmware', '*'], ['Application', 'intel', 'converged_security_management_engine_firmware', '*'], ['Application', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'trusted_execution_engine_firmware', '*'], ['Operating System', 'intel', 'trusted_execution_engine_firmware', '*']]"
Conti,CVE-2019-0153,3.0,9.8 ,Buffer overflow in subsystem in Intel(R) CSME 12.0.0 through 12.0.34 may allow an unauthenticated user to potentially enable escalation of privilege via network access.,Network,Low,None,None,High,High,High,"[['Application', 'intel', 'converged_security_management_engine_firmware', 'versions up to (excluding) 12.0']]"
Conti,CVE-2019-0096,3.0,8.0 ,"Out of bound write vulnerability in subsystem for Intel(R) AMT before versions 11.8.65, 11.11.65, 11.22.65, 12.0.35 may allow an authenticated user to potentially enable escalation of privilege via adjacent network access.",Adjacent,Low,Low,None,High,High,High,"[['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*']]"
Conti,CVE-2019-11147,3.1,7.8 ,"Insufficient access control in hardware abstraction driver for MEInfo software for Intel(R) CSME before versions 11.8.70, 11.11.70, 11.22.70, 12.0.45, 13.0.0, 14.0.10; TXEInfo software for Intel(R) TXE before versions 3.1.70 and 4.0.20; INTEL-SA-00086 Detection Tool version 1.2.7.0 or before; INTEL-SA-00125 Detection Tool version 1.0.45.0 or before may allow an authenticated user to potentially enable escalation of privilege via local access.",Local,Low,Low,None,High,High,High,"[['Application', 'intel', 'intel-sa-00125_detection_tool', 'versions up to (including) 1.0'], ['Application', 'intel', 'sa-00086_detection_tool', 'versions up to (including) 1.2'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-11105,3.1,6.7 ,"Logic issue in subsystem for Intel(R) CSME before versions 12.0.45, 13.0.10 and 14.0.10 may allow a privileged user to potentially enable escalation of privilege and information disclosure via local access.",Local,Low,High,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-11104,3.1,7.8 ,"Insufficient input validation in MEInfo software for Intel(R) CSME before versions 11.8.70, 11.11.70, 11.22.70, 12.0.45, 13.0.10 and 14.0.10; Intel(R) TXE before versions 3.1.70 and 4.0.20 may allow an authenticated user to potentially enable escalation of privilege via local access.",Local,Low,Low,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-11097,3.1,7.8 ,"Improper directory permissions in the installer for Intel(R) Management Engine Consumer Driver for Windows before versions 11.8.70, 11.11.70, 11.22.70, 12.0.45,13.0.10 and 14.0.10; Intel(R) TXE before versions 3.1.70 and 4.0.20 may allow an authenticated user to potentially enable escalation of privilege via local access.",Local,Low,Low,None,High,High,High,"[['Operating System', 'intel', 'trusted_execution_engine_firmware', '*'], ['Operating System', 'intel', 'trusted_execution_engine_firmware', '*']]"
Conti,CVE-2019-11103,3.1,7.8 ,"Insufficient input validation in firmware update software for Intel(R) CSME before versions 12.0.45,13.0.10 and 14.0.10 may allow an authenticated user to potentially enable escalation of privilege via local access.",Local,Low,Low,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-11087,3.1,6.7 ,"Insufficient input validation in the subsystem for Intel(R) CSME before versions 11.8.70, 11.11.70, 11.22.70, 12.0.45, 13.0.10 and 14.0.10; Intel(R) TXE before versions 3.1.70 and 4.0.20 may allow a privileged user to potentially enable escalation of privilege, information disclosure or denial of service via local access.",Local,Low,High,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-11106,3.1,6.7 ,"Insufficient session validation in the subsystem for Intel(R) CSME before versions 11.8.70, 12.0.45, 13.0.10 and 14.0.10; Intel(R) TXE before versions 3.1.70 and 4.0.20 may allow a privileged user to potentially enable escalation of privilege via local access.",Local,Low,High,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-11110,3.1,6.7 ,"Authentication bypass in the subsystem for Intel(R) CSME before versions 11.8.70, 11.11.70, 11.22.70, 12.0.45, 13.0.10 and 14.0.10; Intel(R) TXE before versions 3.1.70 and 4.0.20 may allow a privileged user to potentially enable escalation of privilege via local access.",Local,Low,High,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-11108,3.1,6.7 ,Insufficient input validation in subsystem for Intel(R) CSME before versions 12.0.45 and 13.0.10 may allow a privileged user to potentially enable escalation of privilege via local access.,Local,Low,High,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-0169,3.1,8.8 ,"Heap overflow in subsystem in Intel(R) CSME before versions 11.8.70, 11.11.70, 11.22.70, 12.0.45; Intel(R) TXE before versions 3.1.70 and 4.0.20 may allow an unauthenticated user to potentially enable escalation of privileges, information disclosure or denial of service via adjacent access.",Adjacent,Low,None,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-11088,3.1,8.8 ,"Insufficient input validation in subsystem in Intel(R) AMT before versions 11.8.70, 11.11.70, 11.22.70 and 12.0.45 may allow an unauthenticated user to potentially enable escalation of privilege via adjacent access.",Adjacent,Low,None,None,High,High,High,"[['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*']]"
Conti,CVE-2019-11132,3.1,8.4 ,"Cross site scripting in subsystem in Intel(R) AMT before versions 11.8.70, 11.11.70, 11.22.70 and 12.0.45 may allow a privileged user to potentially enable escalation of privilege via network access.",Network,Low,High,Required,High,High,High,"[['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*']]"
Conti,CVE-2019-11131,3.1,9.8 ,"Logic issue in subsystem in Intel(R) AMT before versions 11.8.70, 11.11.70, 11.22.70 and 12.0.45 may allow an unauthenticated user to potentially enable escalation of privilege via network access.",Network,Low,None,None,High,High,High,"[['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*']]"
Conti,CVE-2019-11107,3.1,9.8 ,Insufficient input validation in the subsystem for Intel(R) AMT before version 12.0.45 may allow an unauthenticated user to potentially enable escalation of privilege via network access.,Network,Low,None,None,High,High,High,"[['Operating System', 'intel', 'active_management_technology_firmware', '*']]"
Conti,CVE-2020-0594,3.1,9.8 ,"Out-of-bounds read in IPv6 subsystem in Intel(R) AMT and Intel(R) ISM versions before 11.8.77, 11.12.77, 11.22.77 and 12.0.64 may allow an unauthenticated user to potentially enable escalation of privilege via network access.",Network,Low,None,None,High,High,High,"[['Application', 'intel', 'service_manager', '*'], ['Application', 'intel', 'service_manager', '*'], ['Application', 'intel', 'service_manager', '*'], ['Application', 'intel', 'service_manager', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*']]"
Conti,CVE-2020-0595,3.1,9.8 ,"Use after free in IPv6 subsystem in Intel(R) AMT and Intel(R) ISM versions before 11.8.77, 11.12.77, 11.22.77 and 12.0.64 may allow an unauthenticated user to potentially enable escalation of privilege via network access.",Network,Low,None,None,High,High,High,"[['Application', 'intel', 'service_manager', '*'], ['Application', 'intel', 'service_manager', '*'], ['Application', 'intel', 'service_manager', '*'], ['Application', 'intel', 'service_manager', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*'], ['Operating System', 'intel', 'active_management_technology_firmware', '*']]"
Conti,CVE-2020-0586,3.1,7.8 ,Improper initialization in subsystem for Intel(R) SPS versions before SPS_E3_04.01.04.109.0 and SPS_E3_04.08.04.070.0 may allow an authenticated user to potentially enable escalation of privilege and/or denial of service via local access.,Local,Low,Low,None,High,High,High,"[['Application', 'intel', 'server_platform_services', '*'], ['Application', 'intel', 'server_platform_services', '*'], ['Application', 'intel', 'server_platform_services', '*']]"
Conti,CVE-2020-0542,3.1,7.8 ,"Improper buffer restrictions in subsystem for Intel(R) CSME versions before 12.0.64, 13.0.32, 14.0.33 and 14.5.12 may allow an authenticated user to potentially enable escalation of privilege, information disclosure or denial of service via local access.",Local,Low,Low,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2020-0533,3.1,6.7 ,"Reversible one-way hash in Intel(R) CSME versions before 11.8.76, 11.12.77 and 11.22.77 may allow a privileged user to potentially enable escalation of privilege, denial of service or information disclosure via local access.",Local,Low,High,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2020-0541,3.1,6.7 ,"Out-of-bounds write in subsystem for Intel(R) CSME versions before 12.0.64, 13.0.32, 14.0.33 and 14.5.12 may allow a privileged user to potentially enable escalation of privilege via local access.",Local,Low,High,None,High,High,High,"[['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2019-14598,3.1,6.7 ,"Improper Authentication in subsystem in Intel(R) CSME versions 12.0 through 12.0.48 (IOT only: 12.0.56), versions 13.0 through 13.0.20, versions 14.0 through 14.0.10 may allow a privileged user to potentially enable escalation of privilege, denial of service or information disclosure via local access.",Local,Low,High,None,High,High,High,"[['Application', 'netapp', 'steelstore_cloud_integrated_storage', '-'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*'], ['Operating System', 'intel', 'converged_security_management_engine_firmware', '*']]"
Conti,CVE-2020-8752,3.1,9.8 ,"Out-of-bounds write in IPv6 subsystem for Intel(R) AMT, Intel(R) ISM versions before 11.8.80, 11.12.80, 11.22.80, 12.0.70, 14.0.45 may allow an unauthenticated user to potentially enable escalation of privileges via network access.",Network,Low,None,None,High,High,High,"[['Application', 'intel', 'active_management_technology', 'versions up to (excluding) 11.8'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'standard_manageability', 'versions up to (excluding) 11.8'], ['Application', 'intel', 'standard_manageability', '*'], ['Application', 'intel', 'standard_manageability', '*'], ['Application', 'intel', 'standard_manageability', '*'], ['Application', 'netapp', 'cloud_backup', '-']]"
Conti,CVE-2020-12297,3.1,7.8 ,"Improper access control in Installer for Intel(R) CSME Driver for Windows versions before 11.8.80, 11.12.80, 11.22.80, 12.0.70, 13.0.40, 13.30.10, 14.0.45 and 14.5.25, Intel TXE 3.1.80, 4.0.30 may allow an authenticated user to potentially enable escalation of privileges via local access.",Local,Low,Low,None,High,High,High,"[['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 11.8'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'trusted_execution_technology', '3.1.80'], ['Application', 'intel', 'trusted_execution_technology', '4.0.30']]"
Conti,CVE-2020-12303,3.1,7.8 ,"Use after free in DAL subsystem for Intel(R) CSME versions before 11.8.80, 11.12.80, 11.22.80, 12.0.70, 13.0.40, 13.30.10, 14.0.45 and 14.5.25, Intel(R) TXE 3.1.80, 4.0.30 may allow an authenticated user to potentially enable escalation of privileges via local access.",Local,Low,Low,None,High,High,High,"[['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 11.8'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 11.8'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 11.8'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'trusted_execution_technology', '3.1.80'], ['Application', 'intel', 'trusted_execution_technology', '4.0.30']]"
Conti,CVE-2020-12354,3.1,7.8 ,Incorrect default permissions in Windows(R) installer in Intel(R) AMT SDK versions before 14.0.0.1 may allow an authenticated user to potentially enable escalation of privilege via local access.,Local,Low,Low,None,High,High,High,"[['Application', 'intel', 'active_management_technology_software_development_kit', 'versions up to (excluding) 14.0']]"
Conti,CVE-2020-8744,3.1,7.8 ,"Improper initialization in subsystem for Intel(R) CSME versions before12.0.70, 13.0.40, 13.30.10, 14.0.45 and 14.5.25, Intel(R) TXE versions before 4.0.30 Intel(R) SPS versions before E3_05.01.04.200 may allow a privileged user to potentially enable escalation of privilege via local access.",Local,Low,Low,None,High,High,High,"[['Application', 'intel', 'converged_security_and_management_engine', 'versions up to (excluding) 12.0'], ['Application', 'intel', 'converged_security_and_management_engine', '*'], ['Application', 'intel', 'converged_security_and_management_engine', '*'], ['Application', 'intel', 'converged_security_and_management_engine', '*']]"
Conti,CVE-2020-8757,3.1,6.7 ,"Out-of-bounds read in subsystem for Intel(R) AMT versions before 11.8.80, 11.12.80, 11.22.80, 12.0.70 and 14.0.45 may allow a privileged user to potentially enable escalation of privilege via local access.",Local,Low,High,None,High,High,High,"[['Application', 'intel', 'active_management_technology', 'versions up to (excluding) 11.8'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'netapp', 'cloud_backup', '-']]"
Conti,CVE-2020-8756,3.1,6.7 ,"Improper input validation in subsystem for Intel(R) CSME versions before 11.8.80, 11.12.80, 11.22.80, 12.0.70 and 14.0.45 may allow a privileged user to potentially enable escalation of privilege via local access.",Local,Low,High,None,High,High,High,"[['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 11.8'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*'], ['Application', 'intel', 'converged_security_and_manageability_engine', '*']]"
Conti,CVE-2020-8760,3.1,7.8 ,"Integer overflow in subsystem for Intel(R) AMT versions before 11.8.80, 11.12.80, 11.22.80, 12.0.70, 14.0.45 may allow a privileged user to potentially enable escalation of privilege via local access.",Local,Low,Low,None,High,High,High,"[['Application', 'intel', 'active_management_technology', 'versions up to (excluding) 11.8'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'netapp', 'cloud_backup', '-']]"
Conti,CVE-2020-8758,3.1,9.8 ,"Improper buffer restrictions in network subsystem in provisioned Intel(R) AMT and Intel(R) ISM versions before 11.8.79, 11.12.79, 11.22.79, 12.0.68 and 14.0.39 may allow an unauthenticated user to potentially enable escalation of privilege via network access. On un-provisioned systems, an authenticated user may potentially enable escalation of privilege via local access.",Network,Low,None,None,High,High,High,"[['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'intel', 'active_management_technology', '*'], ['Application', 'netapp', 'steelstore_cloud_integrated_storage', '-']]"
Conti,CVE-2020-8703,3.1,6.7 ,"Improper buffer restrictions in a subsystem in the Intel(R) CSME versions before 11.8.86, 11.12.86, 11.22.86, 12.0.81, 13.0.47, 13.30.17, 14.1.53, 14.5.32 and 15.0.22 may allow a privileged user to potentially enable escalation of privilege via local access.",Local,Low,High,None,High,High,High,"[['Operating System', 'siemens', 'simatic_field_pg_m5_firmware', '*'], ['Hardware Devices', 'siemens', 'simatic_field_pg_m5', '-'], ['Operating System', 'siemens', 'simatic_field_pg_m6_firmware', '*'], ['Hardware Devices', 'siemens', 'simatic_field_pg_m6', '-'], ['Operating System', 'siemens', 'simatic_ipc427e_firmware', '*'], ['Hardware Devices', 'siemens', 'simatic_ipc427e', '-'], ['Operating System', 'siemens', 'simatic_ipc477e_firmware', '*'], ['Hardware Devices', 'siemens', 'simatic_ipc477e', '-'], ['Operating System', 'siemens', 'simatic_ipc477e_pro_firmware', '*'], ['Hardware Devices', 'siemens', 'simatic_ipc477e_pro', '-'], ['Operating System', 'siemens', 'simatic_ipc527g_firmware', '*'], ['Hardware Devices', 'siemens', 'simatic_ipc527g', '-'], ['Operating System', 'siemens', 'simatic_ipc547g_firmware', '*'], ['Hardware Devices', 'siemens', 'simatic_ipc547g', '-'], ['Operating System', 'siemens', 'simatic_ipc627e_firmware', 'versions up to (excluding) 25.02'], ['Hardware Devices', 'siemens', 'simatic_ipc627e', '-'], ['Operating System', 'siemens', 'simatic_ipc647e_firmware', 'versions up to (excluding) 25.02'], ['Hardware Devices', 'siemens', 'simatic_ipc647e', '-'], ['Operating System', 'siemens', 'simatic_ipc677e_firmware', 'versions up to (excluding) 25.02'], ['Hardware Devices', 'siemens', 'simatic_ipc677e', '-'], ['Operating System', 'siemens', 'simatic_ipc847e_firmware', 'versions up to (excluding) 25.02'], ['Hardware Devices', 'siemens', 'simatic_ipc847e', '-'], ['Operating System', 'siemens', 'simatic_itp1000_firmware', '*'], ['Hardware Devices', 'siemens', 'simatic_itp1000', '-'], ['Application', 'netapp', 'cloud_backup', '-'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 11.12'], ['Hardware Devices', 'intel', 'c420', '-'], ['Hardware Devices', 'intel', 'x299', '-'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 11.22'], ['Hardware Devices', 'intel', 'c621', '-'], ['Hardware Devices', 'intel', 'c621a', '-'], ['Hardware Devices', 'intel', 'c622', '-'], ['Hardware Devices', 'intel', 'c624', '-'], ['Hardware Devices', 'intel', 'c625', '-'], ['Hardware Devices', 'intel', 'c626', '-'], ['Hardware Devices', 'intel', 'c627', '-'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 11.8'], ['Hardware Devices', 'intel', 'b150', '-'], ['Hardware Devices', 'intel', 'b250', '-'], ['Hardware Devices', 'intel', 'core_i3-7020u', '-'], ['Hardware Devices', 'intel', 'core_i3-7100', '-'], ['Hardware Devices', 'intel', 'core_i3-7100e', '-'], ['Hardware Devices', 'intel', 'core_i3-7100h', '-'], ['Hardware Devices', 'intel', 'core_i3-7100t', '-'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 12.0'], ['Hardware Devices', 'intel', 'b360', '-'], ['Hardware Devices', 'intel', 'b365', '-'], ['Hardware Devices', 'intel', 'c242', '-'], ['Hardware Devices', 'intel', 'c246', '-'], ['Hardware Devices', 'intel', 'celeron_4205u', '-'], ['Hardware Devices', 'intel', 'celeron_4305u', '-'], ['Hardware Devices', 'intel', 'celeron_4305ue', '-'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 13.0'], ['Hardware Devices', 'intel', 'core_i3-1000g1', '-'], ['Hardware Devices', 'intel', 'core_i3-1000g4', '-'], ['Hardware Devices', 'intel', 'core_i3-1000ng4', '-'], ['Hardware Devices', 'intel', 'core_i3-1005g1', '-'], ['Hardware Devices', 'intel', 'core_i3-10100', '-'], ['Hardware Devices', 'intel', 'core_i3-10100e', '-'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 13.30'], ['Hardware Devices', 'intel', 'core_i3_l13g4', '-'], ['Hardware Devices', 'intel', 'core_i5_l16g7', '-'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 14.1'], ['Hardware Devices', 'intel', 'b460', '-'], ['Hardware Devices', 'intel', 'core_i3-1000g1', '-'], ['Hardware Devices', 'intel', 'core_i3-1000g4', '-'], ['Hardware Devices', 'intel', 'core_i3-1000ng4', '-'], ['Hardware Devices', 'intel', 'core_i3-1005g1', '-'], ['Hardware Devices', 'intel', 'core_i3-10100', '-'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 14.5'], ['Hardware Devices', 'intel', 'pentium_gold_4410y', '-'], ['Hardware Devices', 'intel', 'pentium_gold_4415u', '-'], ['Hardware Devices', 'intel', 'pentium_gold_4415y', '-'], ['Hardware Devices', 'intel', 'pentium_gold_4417u', '-'], ['Hardware Devices', 'intel', 'pentium_gold_4425y', '-'], ['Hardware Devices', 'intel', 'pentium_gold_5405u', '-'], ['Application', 'intel', 'converged_security_and_manageability_engine', 'versions up to (excluding) 15.0'], ['Hardware Devices', 'intel', 'celeron_6305', '-'], ['Hardware Devices', 'intel', 'celeron_6305e', '-'], ['Hardware Devices', 'intel', 'core_i3-11100b', '-'], ['Hardware Devices', 'intel', 'core_i3-1110g4', '-'], ['Hardware Devices', 'intel', 'core_i3-1115g4', '-'], ['Hardware Devices', 'intel', 'core_i3-1115g4e', '-']]"
Conti,CVE-2021-36958,3.1,7.8 ,"Windows Print Spooler Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-36936, CVE-2021-36947.",Local,Low,None,Required,High,High,High,"[['Operating System', 'microsoft', 'windows', '-']]"
Conti,CVE-2022-30190,3.1,7.8 ,Microsoft Windows Support Diagnostic Tool (MSDT) Remote Code Execution Vulnerability.,Local,Low,None,Required,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '20h2'], ['Operating System', 'microsoft', 'windows_10', '21h1'], ['Operating System', 'microsoft', 'windows_10', '21h2'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_11', '-'], ['Operating System', 'microsoft', 'windows_11', '-'], ['Operating System', 'microsoft', 'windows_7', '-']]"
Conti,CVE-2022-22958,3.1,7.2 ,"VMware Workspace ONE Access, Identity Manager and vRealize Automation contain two remote code execution vulnerabilities (CVE-2022-22957 &amp; CVE-2022-22958). A malicious actor with administrative access can trigger deserialization of untrusted data through malicious JDBC URI which may result in remote code execution.",Network,Low,High,None,High,High,High,"[['Application', 'vmware', 'cloud_foundation', '*'], ['Application', 'vmware', 'identity_manager', '3.3.3'], ['Application', 'vmware', 'identity_manager', '3.3.4'], ['Application', 'vmware', 'identity_manager', '3.3.5'], ['Application', 'vmware', 'identity_manager', '3.3.6'], ['Application', 'vmware', 'vrealize_automation', '7.6'], ['Application', 'vmware', 'vrealize_automation', '*']]"
